St Vincent de Paul RC Primary School,U22-V22
St Stephens School,F12
St Stephen's Mews,F12
St Stephen's Gardens,F12-G12
St Stephen's Crescent,G12
St Stephen,G12
St Stephen,W22
"St Saviour's, Pimlico",W25
St Petersburgh Place,G15-H16
St Petersburgh Mews,H15
St Peter's Place,G9-H9
St Peter's C. of E. Primary School,F9
St Peter Elgin Avenue,F9
St Pauls United Reformed Church,G13-H13
St Paul's Community Church,N9
St Paul's - The Actor's Church,Z15
St Patrick's Soho Square,X13
St Michael's Mews,Q24
St Matthew's Westminster,X21
St Matthew's Church,X21
St Mathew's Church Bayswater,G15
St Mary's Terrace,K10-K11
St Mary's Primary School,O11
St Mary's Mansions,K10
St Mary's,O11-P11
St Mary Of The Angels RC Primary School,E12-F12
St Mary of the Angels,F13
St Mary Magdalene C of E primary school,H10
St Mary Magdalene,H10
St Mary le Strand,AB15
St Martin's Street,X16
St Martin-in-the-Fields,Y16
St Luke's Road,D11-E12
St Luke's Primary School,D6
St Luke's Mews,D12
St Luke's,D5-D6
St Jude's Hall,B7
St John's Wood Terrace,M5-N4
St John's Wood Road Baptist Church,L8
St John's Wood Road,K9-N7
St John's Wood Park,L3
St John's Wood High Street,M5-N6
St John's Wood,N6
St John's Terrace,A8
St John's Parish Hall,N13
St John's Mews,E13
St John the Evangelist,A8
St James's Terrace Mews,O4-P4
St James's Street,X17
St James's Square,W17
St James's Market,W16-X16
St James's Close,O4-P4
St James's Church,V16-W16
"St James, Sussex Gardens",K14-L14
St George's Square Mews,W26
St George's Square,W25-W26
St George's Hanover Square Primary School,S16
St George's Hannover Square,U14-U15
St George's Drive,T24-V25
St George Street,U14-U15
St Gabriel's Halls,U26
St Gabriel's,U25
St Edward's RC Primary School,N10-O10
St Edmund's Terrace,O4-P3
St Edmund's Close,P3-P4
St Cyprian's,P9
St Clement's Passage,AB14
St Clement's Lane,AB14
St Clement Danes,AC14
St Barnabas Mews,R25-S25
St Barnabas C of E Primary,R24
St Barnabas,R24
"St Annes, Soho",X14-X15
St Alban's Street,W16-X16
Spur Road,V20
Springfield Road,I3-K3
Spring Street,K13-L14
Spring Mews,P11-Q11
Spring Gardens,Y17
Spenser Street,V21-W21
Spencer Place,W22
Spanish Place,R12
Southwick Street,M12-M13
Southwick Place,M13-N13
Southwick Mews,M13
Southcott Mews,M5
Southampton Street,AA15-Z15
South Wharf Road,L12-M12
South Street,R16-S16
South Molton Street,S14-T14
South Molton Passage,S14
South Molton Lane,S14-T14
South Eaton Place,R23
South Carriage Drive,L19-R18
South Audley Street,R15-S17
South Audley Square,S17
Somers Crescent,M13
Soho Street,X13
Soho Square,W13-X13
Soho Safer Neighbourhood Team Office,W14
Soho Parish School,W15
Smith's Court,W15
Smith Square,Y22
Smallbrook Mews,K14
Slingsby Place,Y15
Skola International Community School,M12
Skinner Place,Q23
Sixth Avenue,A6-A8
Silver Place,W14
Siddons Lane,P10-P9
Shroton Street,N10
Shrewsbury Road,F12
Shrewsbury Mews,F12
Shouldham Street,O12
Shirland Road,D7-I10
Shirland Mews,E8
Shillibeer Place,O11
Shieldex Limited,M10-M11
Sherwood Street,W15
Sherlock Mews,Q11
Sheraton Street,W13
Shepherd's Place,R15
Shepherd Street,S17-T17
Shepherd Market,S17-T17
Shelton Street,Y14-Z13
Sheldon Square,J11-K12
Sheffield Street,AB13-AB14
Shavers Place,X15-X16
Shannon Place,N4-N5
Shaftesbury Avenue,W16-Y14
SGI,V12
Seymour Street,O14-Q13
Seymour Place,O11-P14
Seymour Mews,R13
Sevington Street,G9
Severn Avenue,C6
Serpentine Walk,P19
Serpentine Road,M17-R18
Serpentine Bridge,L17-M17
Serle Street,AC13
Senior Street,H10-H11
Semley Place,R23-S24
Self-Realization Fellowship,Q10-Q11
Selby Square,C6
Sedley Place,S14
Second Avenue,C8
Seaforth Place,V21-W21
Scott's College,X13
Scott Ellis Gardens,K8-L7
Scotland Place,Y17-Z17
School of Economic Science,R13
Savoy Way,AA15-AA16
Savoy Street,AA15-AA16
Savoy Steps,AA15
Savoy Row,AA15
Savoy Place,AA16-Z16
Savoy Hill,AA15-AA16
Savoy Court,AA15
Savoy Buildings,AA15-AA16
Savile Row,U15-V16
Sardinia Street,AA13-AB13
Samford Street,M9
Saltram Crescent,D6-E8
Salisbury Street,M9-N10
Salisbury Place,P11
Salem Road,H14
Sale Place,M12-N12
Salahuddin Islamic Centr,M13
Saint Vincent Street,R12
Saint Saviour Warwick Avenue,I10
Saint Saviour Church of England school,I10-I9
Saint Paul's Knightsbridge,Q19
Saint Michael's Street,M13-N12
Saint Mary's Square,K11-L11
Saint Martin's Place,Y16
Saint Martin's Lane,Y15
Saint Martin's Court,Y15
Saint Mark's Church,J6
"Saint Margaret's, Westminster",Y20
Saint Margaret's Church,Y20
Saint Margaret Street,Y20
Saint Luke's Yard,C6
Saint James The Less,W24
Saint George's Fields,N14
Saint George's Catholic School,H5-H6
Saint Christina's School,O4
Sacred Heart,X22
Sackville Street,V15-V16
Ryder's Terrace,J4
Ryder Yard,V17
Ryder Street,V17
Rutland Street,N20-N21
Rutland Mews East,N20
Rutland Mews,I3
Rutland Gate Mews,N20
Rutland Gate,N19-N20
Rutland Gardens Mews,N20
Rutland Gardens,N19-N20
Rutherford Street,W23-X22
Russell's Wharf,C9-D8
Russell Street,AA14-Z15
Russell Court,V18
Rupert Street,W15-X15
Rupert Court,X15
Rudolph Road,G5
Royalty Mews,X14
Royal Opera Arcade,X16-X17
Royal Hospital Road,Q25
Royal College of Organists,K20
Royal College of Obstetricians and Gynaecologists,O8
Royal College of Music,K20
Royal College of Art,K19
Royal College of Art,K19-K20
Royal Ballet School,Z14
Royal Arcade,U16
Royal Academy of Music,R10
Royal Academy,U16-V16
Rowley Way,J2
Rowington Close,H10
Rowan Walk,A8
Rotten Row,L18-R19
Rossmore Road,N9-P9
Rossmore Hall Evangelical Church,N9
Rossetti Mews,L3-L4
Rose Street,Y15-Z15
Rose and Crown Yard,V17
Romney Street,Y22
Romilly Street,X14
Roman Catholic Parish of St. Charles Borromeo,V11
Rodmarton Street,Q11-Q12
Rochester Street,W22
Rochester Row,V23-W22
Robinsfield Infants School,M4
Roberts Mews,R21
Robert Street,Z16
Robert Hooke Science Centre,Y22
Robert Close,K9
Robert Adam Street,Q12-R12
Riverton Close,D8
Riding House Street,U12-V11
Richmond Terrace,Y19-Z19
Richmond Mews,W14
Richmond Buildings,W14
RHS Lindley Library,W22
Rex Place,R16
Rembrandt Close,Q24
Relton Mews,N20
Regents Mews,K5
Regent's University,Q8-R9
Regent's University,R9
Regent's Canal Towpath,L8-R3
Regent Street,A7-W16
Regent Place,V15
Regency Street,X22-X24
Regency Place,X22
Reeves Mews,R16
Rede Place,F14
Redan Place,H13-H14
Red Place,Q14
Red Lion Yard,S17
Ravenstone House School,N14
Rathbone Street,W12
Rathbone Place,W12-X13
Raphael Street,O19-O20
Ranston Street,N10
Ranelagh Road,V25-V26
Ranelagh Grove,R25-S24
Ranelagh Bridge,I11-I12
Randolph Road,J10-J9
Randolph Mews,J10-K9
Randolph Gardens,G5-H5
Randolph Crescent,J8-J9
Randolph Avenue,H5-K9
Rampayne Street,W25-X24
Ramillies Street,V13-V14
Ramillies Place,V13
Rainsford Street,M12-M13
Radnor Place,M13
Radnor Mews,M13-M14
Radha Krishna Temple,X13
Radcliffe College,V13
Quintin Kynaston,K4-L3
Queensway,H12-I15
Queensborough Terrace,I14-I15
Queensborough Passage,I14
Queensborough Mews,I14
Queen's Walk,U17-V19
Queen's Terrace,L4
Queen's Park United Reformed Church,C8
Queen's Park Primary School,C8
Queen's Park Community Nursery,E7
Queen's Park Community Hall,A7
Queen's Mews,H14
Queen's Grove Studios,L4
Queen's Grove,L4-M3
Queen's Gate Terrace,K21
Queen's Gate,J19-K21
Queen's Gardens,I14-J14
Queen's Chapel of the Savoy,AA15
Queen's Chapel,V18
Queen Street,S17-T17
Queen Anne's Gate,W20-X20
Queen Anne Street,S12-T12
Queen Anne Mews,T12
Quebec Mews,P13
QEB,AC15
Providence Court,R14
Private Mews,Q15
Princes Street,U14
Princes Gate Mews,M21
Princes Gate,L19-N19
Princes Gardens,L20-M20
Princes Arcade,V16
Prince's Square,G14
Prince's Mews,G14
Prince of Wales Gate,M19
Prince Consort Road,J20-L20
Prince Albert Road,N7-R3
Prince Albert Court,P4
Primrose Hill Bridge,P4
Premier Corner,D5
Praed Street,K13-M11
Praed Mews,L13-M13
Post Office,U12
Post Office,W16
Portugal Street,AB14-AC13
Portsmouth Street,AB13
Portsea Place,O13
Portsea Mews,O13
Portnall Road,D5-D9
Portman Towers,P12-Q13
Portman Street,Q13-Q14
Portman Square,Q13
Portman Mews South,Q14-R13
Portman Gate,N10-N9
Portman Close,Q12-Q13
Portland Place,T10-T12
Portland Mews,W14
Portland Gate,N19-N20
Portgate Close,D8
Porteus Road,K11
Porter Street,Q10
Porchester Terrace North,I12-I13
Porchester Terrace,I14-I15
Porchester Square,H12-I12
Porchester Road,H12-H13
Porchester Place,N13-O14
Porchester Gardens Mews,I14
Porchester Gardens,H14-I14
Poplar Place,H14-H15
Pont Street,Q21
Ponsonby Terrace,X25-Y25
Ponsonby Place,X24-Y25
Pollitt Drive,L8
Pollen Street,U14
Policeman's Walk,M17-O16
Poland Street,V13-W14
Poets' Corner,Y20
Plympton Street,N10-N9
Plympton Place,N9
Pitt's Head Mews,S17-S18
Pine Apple Court,V21
Pindock Mews,H9-I9
Pimlico School,V26-W25
Pimlico Road,Q25-S24
Pimlico Nursery,W24
Pimlico Library,V25
Picton Place,R13-S13
Pickering Place,V18
Pickering Mews,H13
Piccadilly Underpass,R19-S19
Piccadilly Place,V16
Piccadilly Line (disused),AB14
Piccadilly Line (abandoned),AA13-AB14
Piccadilly Circus,W16
Piccadilly Circus,W16
Piccadilly Arcade,V16-V17
Piccadilly,S19-W16
Phipps Mews,T22
Petty France,V20-W20
Peter Street,W14
Perry's Place,W13
Perkin's Rents,X21
Percy Passage,W12
Pentagram Yard,F13
Penfold Street,L9-M11
Penfold Place,M10-M11
Pembroke Close,R19
Pembridge Villas,F13
Pembridge Square,G15
Pearson Square,V11-V12
Peach Road,A6-A7
Peabody Estate,X26
Peabody Close,T26
Peabody Avenue,T25-T26
Paxton Terrace,T26
Paveley Street,N8-N9
Path to hotel entrance,Y23
Passmore St.,Q24-R24
Parry Road,C6-C7
Parliament Street,Y19-Y20
Parliament Square,Y19-Y20
Park West Place,N13-O13
Park Street,Q14-R16
Park St James,O4
Park Square West,S10-S9
Park Square Mews,S9
Park Square East,T9
Park Road,N7-P9
Park Place Villas,K10
Park Place,U17-V17
Park Mews,B6
Park Lane Subway,R18-S19
Park Lane,P14-S19
Park Crescent Mews West,S10
Park Crescent Mews East,T10
Park Crescent,S10-T9
Park Close,O19
park,K15
Parish Church of Saint Mary Saint Marylebone,N12
Panton Street,X16
Palmer Street,W20-W21
Pall Mall East,X17-Y16
Pall Mall,V18-X17
Palgrave Gardens,O8-O9
Palace Street,U20-V21
Palace Place,U20-U21
Palace Court,G15-G16
Paint Pots Montessori School,H13
Page Street,X23-Y23
Paddington Street,Q11-R11
Paddington Station Car Park Exit,I12
Paddington Station Car Park,J12
Paddington Quay,M12
Paddington Library,H12
Paddington Green Primary School,K10
Paddington Green Police Station,L11-M11
Paddington Green,L11
Paddington Delivery Office,L12-L13
Paddington Childen's Library,H12
Paddington Academy,G9
Oxford Street,P14-X13
Oxford Square,N13
Oxford Road,G4-G5
Oxford Court,F10
Oxford Circus,U13
Oxendon Street,X15-X16
Outer Temple,AC14
Outer Circle,O5-T9
Our Lady Queen Of Heaven Catholic Church,H15
Our Lady of the Rosary,N12-O12
Our Lady of The Assumption and Saint Gregory,V15
Our Lady of Sorrows,G10-G11
Our Lady and St Vincent's,E10
Ossington Street,G15-G16
Ossington Close,G15
Ossington Buildings,R11
Osbert Street,W24
Orsett Terrace,I12-J12
Orsett Mews,I12
Ormonde Terrace,P4
Ormonde Place,R24
Ormonde Court,P4
Ormond Yard,V16-W16
Orme Square,H15-H16
Orme Lane,H15
Orme Court Mews,H15
Orme Court,H15-H16
Ordnance Mews,M5
Ordnance Hill,L3-M5
Orchardson Street,L10-M9
Orchard Street,R13-R14
Orange Yard,X13
Orange Street,X16-Y16
Orange St Congregational Church,X16
Onslow Close,C6
One To One English,Z14
Olympia Mews,H15-I15
Oliphant Street,A7-B6
Oldbury Place,R10-R11
Old Queen Street,X20
Old Quebec Street,P13-Q14
Old Pye Street,W21-X21
Old Park Lane,S18
Old Palace Yard,Y20-Y21
Old Marylebone Road,N12-O11
Old Manor Court,J4
Old Compton Street,W14-X14
Old Cavendish Street,T13
Old Burlington Street,U15-U16
Old Brewer's Yard,Z14
Old Bond Street,U16-V16
Old Barrack Yard,Q19
Ogle Street,V11
Odhams Walk,Z14
Octavia Mews,D8
Oakington Road,F9-G9
Oak Tree Road,M7
Nutford Place,O12-O13
Nutbourne Street,A6-C6
Nugent Terrace,J6
Nuffield Lodge,F10
Nottingham Terrace,R10
Nottingham Street,R11
Nottingham Place,R10-R11
Nottingham Court,Z14
Notre-Dame de France,X15
Northwick Terrace,K8-L9
Northwick Close,L8-L9
Northumberland Street,Y16-Z17
Northumberland Place,F12-F13
Northumberland Avenue,Y17-Z17
North Wharf Road,K11-L11
North West End Synagogue,H15
North Row,Q14-R14
North Ride,M15-M17
North Carriage Drive,M15-P15
North Bank,M7-N7
North Audley Street,R14-R15
Norris Street,W16-X16
Norfolk Square Mews,L13
Norfolk Square,L13-M13
Norfolk Road,M3-M4
Norfolk Place,L12-M13
Norfolk Crescent,N12-N13
Noel Street,V13-W13
Newton Road,G13-H13
Newport Place,X15
Newport Court,X15-Y15
Newman Street,V12-W13
Newman Passage,W12
Newcourt Street,N5-N6
Newcastle Place,L11-M11
Newburgh Street,V14
New Row,Y15-Z15
New Ride,L19-P18
New Quebec Street,P13-Q13
New Palace Yard,Y20-Z20
New London Synagogue,J5
New Inn Passage,AB14
New Court,AC14
New Cavendish Street,R12-V11
New Burlington Street,U15-V15
New Burlington Place,U15-V14
New Burlington Mews,V15
New Bond Street,T14-U16
Needham Road,F13
Neat House Place,U22-U23
Neal Street,Z14
Nassau Street,V11-V12
Mulready Street,M10-N9
Mr Clever's,R12
Mozart Street,C7-D7
Moxon Street,R11
Mount Street Mews,S16
Mount Street,Q16-T15
Mount Row,S15
Motcomb Street,Q20-Q21
Moscow Road,G15-H14
Moscow Place,H14
Mortimer Street,U12-V12
Morshead Road,G7-G8
Morpeth Terrace,U22-V22
Moreton Terrace Mews South,V25
Moreton Terrace Mews North,V25
Moreton Terrace,V25
Moreton Street,V25-W24
Moreton Place,V24-V25
Moorhouse Road,E12-F13
Moor Street,X14-Y14
Montrose Place,R20
Montrose Court,L19-L20
Montreal Place,AB15
Montpelier Walk,N20-N21
Montpelier Terrace,N20
Montpelier Street,N20-N21
Montpelier Square,N20-O20
Montpelier Place,N20
Montpelier Mews,N20-O20
Montessori Center International,R14
Montague Close,X24
Montagu Street,P13
Montagu Square,P12
Montagu Row,Q11
Montagu Place,O12-P12
Montagu Mews West,P12-P13
Montagu Mews South,P13
Montagu Mews North,P11-P12
Montagu Mansions,Q11
Monmouth Road,G13-G14
Monmouth Place,G13
Moncorvo Close,M20
Monck Street,X21-X22
Molyneux Street,O12
Minera Mews,R23
Millbank Primary School,X23-X24
Millbank,X25-Z21
Mill Street,U14-U15
Milkmaid's Passage,U18-V18
Milford Lane,AC14-AC15
Miles Place,M10-M11
Middleton Place,U12
Middlesex Hospital Chapel,V12
Middlesex College,V13
Middle Field,L2
Micky Star Community Nursery,M12
Metropolitan Police,W21-X21
Methodist Central Hall,X20
Merchant Square,L11-M12
Mercer Street,Y14-Z14
Melina Place,K7-L7
Melcombe Street,P10-Q10
Melcombe Place,O10-P10
Melbourne Place,AB14
Medway Street,W22-X22
Meard Street,W14-X14
McGregor Road,D12
Mayfair Post Office,S15
Mayfair Place,U17
Mayfair Library,R16
May's Court,Y15-Z15
Maunsel Street,W23-X22
Matthew Parker Street,X20
Mason's Yard,V17
Mason's Arms Mews,U14
Marylebone Street,R11-S12
Marylebone Road,M11-T9
Marylebone Post Office,R12
Marylebone Police Station,Q13
Marylebone Passage,V12
Marylebone Mews,S12
Marylebone Library,P11
Marylebone Lane,R12-S14
Marylebone High Street,R10-R12
Marylebone Flyover,M11-N11
Marylands Road,F10-G9
Martlett Court,AA14
Marsham Street,X21-Y23
Marshall Street,V14
Marne Street,A6-C7
Marlborough Road,V18-W18
Marlborough Place,I5-L4
Marlborough Hill,K2-K4
Marlborough Court,V14
Market Place,U13-V13
Market Mews,S17
Market Court,V13
Margaret Street,U13-V12
Margaret Court,U13
Marble Arch,P14
Marban Road,D6
Maple Walk,A8
Maple Mews,H4-H5
Mansfield Street,T11-T12
Mansfield Mews,T12
Manette Street,X13-X14
Mandeville Place,R12-S13
Manchester Street,R11-R12
Manchester Square,R13
Manchester Mews,R12
Man in moon passage,V16
Malvern Road,F8
Malvern Place,E6
Maltravers Street,AC15
Mallory Street,N9
Mail Boxes ETC.,L10-L9
Maiden Lane,Z15
Maida Vale,H4-K9
Maida Avenue,J10-K9
Maddox Street,T15-U14
Macroom Road,E6-E7
Mackennal Street,N5-O4
Macfarren Place,R10-R9
Macclesfield Street,X15
Macclesfield Bridge,O5
Lyons Place,L9
Lygon Place,T22
Lydford Road,E8
Lyall Street,Q21-R22
Lyall Mews West,Q22
Lyall Mews,Q22-R21
Luxborough Street,R10-R11
Luton Street Community Nursery,M9
Luton Street,L9-M9
Lupus Street,T26-W25
Lupus Street,U26
Lumley Street,R14-S14
Lumley Court,Z15
Lowndes Street,Q20-Q21
Lowndes Square,P19-Q20
Lowndes Place,R21
Lowndes Court,V14
Lowndes Close,R21
Lower Sloane Street,Q25
Lower Robert Street,Z16
Lower John Street,V15
Lower James Street,V15-W15
Lower Grosvenor Place,T21
Lower Belgrave Street,S21-T22
Lovers' Walk,Q16-R18
Loudoun Road,K2-L5
Lothrop Street,A7-C7
Lorne Close,N8-O8
Lord North Street,Y21-Y22
Lord Hills Road,H10
Lord Hills Bridge,H11-H12
Lonsdale Road,E13
Longmoore Street,U23-V23
Long's Court,X16
Long Acre,AA14-Y15
London Street,L12-L13
London School of Economics and Political Science,AA13-AC14
London School of Economics and Political Science,AB13-AC13
London School of Economics and Political Science,AB14
London Mews,L13
London Library,V17
London International College,V13
London HM Passport Office,T23-U23
London College of Business,W13
London Central Mosque,N7-O7
London Business School,O8-P9
London Business School,P8-P9
Lombardy Place,H15
Lodge Road,L8-N7
Livonia Street,W14
Livingstone Lodge,F10
Little Venice,J11
Little Titchfield Street,U12
Little St. James's Street,V18
Little Smith Street,X21-Y21
Little Sanctuary,Y20
Little Portland Street,U12-V12
